goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/stack
BenchmarkMicroserviceTestValueStack/1000000-4    	       5	 201914771 ns/op	120053200 B/op	 7001958 allocs/op
BenchmarkMicroserviceTestValueStack/1000000-4    	      10	 203237756 ns/op	120053200 B/op	 7001958 allocs/op
BenchmarkMicroserviceTestValueStack/1000000-4    	       5	 200753621 ns/op	120053200 B/op	 7001958 allocs/op
BenchmarkMicroserviceTestValueStack/1000000-4    	       5	 209282400 ns/op	120053200 B/op	 7001958 allocs/op
BenchmarkMicroserviceTestValueStack/1000000-4    	       5	 208278434 ns/op	120053200 B/op	 7001958 allocs/op
BenchmarkMicroserviceTestValueStack/1000000-4    	      10	 204755712 ns/op	120053200 B/op	 7001958 allocs/op
BenchmarkMicroserviceTestValueStack/1000000-4    	       5	 212403153 ns/op	120053200 B/op	 7001958 allocs/op
BenchmarkMicroserviceTestValueStack/1000000-4    	       5	 208084673 ns/op	120053200 B/op	 7001958 allocs/op
BenchmarkFillTestValueStack/0-4                  	2000000000	         1.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkFillTestValueStack/0-4                  	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkFillTestValueStack/0-4                  	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkFillTestValueStack/0-4                  	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkFillTestValueStack/0-4                  	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkFillTestValueStack/0-4                  	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkFillTestValueStack/0-4                  	2000000000	         1.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkFillTestValueStack/0-4                  	2000000000	         1.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkFillTestValueStack/0-4                  	2000000000	         1.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkFillTestValueStack/0-4                  	2000000000	         1.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkFillTestValueStack/1-4                  	20000000	       120 ns/op	      96 B/op	       3 allocs/op
BenchmarkFillTestValueStack/1-4                  	20000000	       119 ns/op	      96 B/op	       3 allocs/op
BenchmarkFillTestValueStack/1-4                  	10000000	       120 ns/op	      96 B/op	       3 allocs/op
BenchmarkFillTestValueStack/1-4                  	10000000	       119 ns/op	      96 B/op	       3 allocs/op
BenchmarkFillTestValueStack/1-4                  	20000000	       119 ns/op	      96 B/op	       3 allocs/op
BenchmarkFillTestValueStack/1-4                  	20000000	       119 ns/op	      96 B/op	       3 allocs/op
BenchmarkFillTestValueStack/1-4                  	20000000	       119 ns/op	      96 B/op	       3 allocs/op
BenchmarkFillTestValueStack/1-4                  	10000000	       119 ns/op	      96 B/op	       3 allocs/op
BenchmarkFillTestValueStack/1-4                  	20000000	       120 ns/op	      96 B/op	       3 allocs/op
BenchmarkFillTestValueStack/1-4                  	20000000	       119 ns/op	      96 B/op	       3 allocs/op
BenchmarkFillTestValueStack/10-4                 	 3000000	       421 ns/op	     368 B/op	      13 allocs/op
BenchmarkFillTestValueStack/10-4                 	 3000000	       421 ns/op	     368 B/op	      13 allocs/op
BenchmarkFillTestValueStack/10-4                 	 3000000	       421 ns/op	     368 B/op	      13 allocs/op
BenchmarkFillTestValueStack/10-4                 	 3000000	       420 ns/op	     368 B/op	      13 allocs/op
BenchmarkFillTestValueStack/10-4                 	 3000000	       427 ns/op	     368 B/op	      13 allocs/op
